CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
   41      58         75         20         92        122         10   
   42      55         80         10         33         63         10   
   43      55         85         20        128        158         10   
   44      55         82         10         64         94         10   
   45      20         82         10         37         67         10   
   46      18         80         10        113        143         10   
   47       2         45         10         45         75         10   
   48      42          5         10        151        181         10   
   49      42         12         10        104        134         10   
   50      72         35         30        116        146         10   
   51      55         20         19         83        113         10   
   52      25         30          3         52         82         10   
   53      20         50          5         91        121         10   
   54      55         60         16        139        169         10   
   55      30         60         16        140        170         10   
   56      50         35         19        130        160         10   
   57      30         25         23         96        126         10   
   58      15         10         20        152        182         10   
   59      10         20         19         42         72         10   
   60      15         60         17        155        185         10   
   61      45         65          9         66         96         10   
   62      65         35          3         52         82         10   
   63      65         20          6         39         69         10   
   64      45         30         17         53         83         10   
   65      35         40         16         11         41         10   
   66      41         37         16        133        163         10   
   67      64         42          9         70        100         10   
   68      40         60         21        144        174         10   
   69      31         52         27         41         71         10   
   70      35         69         23        180        210         10   
   71      65         55         14         65         95         10   
   72      63         65          8         30         60         10   
   73       2         60          5         77        107         10   
   74      20         20          8        141        171         10   
   75       5          5         16         74        104         10   
   76      60         12         31         75        105         10   
   77      23          3          7        150        180         10   
   78       8         56         27         90        120         10   
   79       6         68         30         89        119         10   
   80      47         47         13        192        222         10   
 
